time,latitude,longitude,par
2022-05-16T00:00:00Z,-21.97917,149.97917,29.744
2022-05-16T00:00:00Z,-21.97917,150.02084,30.282
2022-05-16T00:00:00Z,-21.97917,150.06252,31.11
2022-05-16T00:00:00Z,-21.97917,150.10417,31.528
2022-05-16T00:00:00Z,-21.97917,150.14584,30.876
2022-05-16T00:00:00Z,-21.97917,150.18752,30.378
2022-05-16T00:00:00Z,-21.97917,150.22917,30.728
2022-05-16T00:00:00Z,-21.97917,150.27084,30.714
2022-05-16T00:00:00Z,-21.97917,150.31252,31.342
2022-05-16T00:00:00Z,-21.97917,150.35417,31.352
2022-05-16T00:00:00Z,-21.97917,150.39584,31.134
2022-05-16T00:00:00Z,-21.97917,150.43752,30.346
2022-05-16T00:00:00Z,-21.97917,150.47917,30.308
2022-05-16T00:00:00Z,-21.97917,150.52084,30.826
2022-05-16T00:00:00Z,-21.97917,150.56252,30.744
2022-05-16T00:00:00Z,-21.97917,150.60417,30.554
2022-05-16T00:00:00Z,-21.97917,150.64584,30.8
2022-05-16T00:00:00Z,-21.97917,150.68752,30.676
2022-05-16T00:00:00Z,-21.97917,150.72917,29.898
2022-05-16T00:00:00Z,-21.97917,150.77084,29.264
2022-05-16T00:00:00Z,-21.97917,150.81252,29.944
2022-05-16T00:00:00Z,-21.97917,150.85417,30.604
2022-05-16T00:00:00Z,-21.97917,150.89584,30.364
2022-05-16T00:00:00Z,-21.97917,150.93752,30.412
2022-05-16T00:00:00Z,-21.97917,150.97917,30.204
2022-05-16T00:00:00Z,-21.97917,151.02084,29.842
2022-05-16T00:00:00Z,-21.97917,151.06252,29.602
2022-05-16T00:00:00Z,-21.97917,151.10417,29.942
2022-05-16T00:00:00Z,-21.97917,151.14584,30.176
2022-05-16T00:00:00Z,-21.97917,151.18752,29.33
2022-05-16T00:00:00Z,-21.97917,151.22917,29.168
2022-05-16T00:00:00Z,-21.97917,151.27084,29.61
2022-05-16T00:00:00Z,-21.97917,151.31252,30.314
2022-05-16T00:00:00Z,-21.97917,151.35417,30.612
2022-05-16T00:00:00Z,-21.97917,151.39584,30.378
2022-05-16T00:00:00Z,-21.97917,151.43752,29.624
2022-05-16T00:00:00Z,-21.97917,151.47917,28.494
2022-05-16T00:00:00Z,-21.97917,151.52084,29.36
2022-05-16T00:00:00Z,-21.97917,151.56252,29.98
2022-05-16T00:00:00Z,-21.97917,151.60417,30.256
2022-05-16T00:00:00Z,-21.97917,151.64584,31.132
2022-05-16T00:00:00Z,-21.97917,151.68752,32.006
2022-05-16T00:00:00Z,-21.97917,151.72917,32.174
2022-05-16T00:00:00Z,-21.97917,151.77084,32.024
2022-05-16T00:00:00Z,-21.97917,151.81252,31.15
2022-05-16T00:00:00Z,-21.97917,151.85417,30.712
2022-05-16T00:00:00Z,-21.97917,151.89584,29.248
2022-05-16T00:00:00Z,-21.97917,151.93752,28.886
2022-05-16T00:00:00Z,-21.97917,151.97917,28.74
2022-05-16T00:00:00Z,-21.97917,152.02084,29.248
2022-05-16T00:00:00Z,-21.97917,152.06252,29.49
2022-05-16T00:00:00Z,-21.97917,152.10417,29.594
2022-05-16T00:00:00Z,-21.97917,152.14584,29.662
2022-05-16T00:00:00Z,-21.97917,152.18752,30.164
2022-05-16T00:00:00Z,-21.97917,152.22917,30.736
2022-05-16T00:00:00Z,-21.97917,152.27084,30.93
2022-05-16T00:00:00Z,-21.97917,152.31252,30.912
2022-05-16T00:00:00Z,-21.97917,152.35417,30.584
2022-05-16T00:00:00Z,-21.97917,152.39584,30.02
2022-05-16T00:00:00Z,-21.97917,152.43752,29.728
2022-05-16T00:00:00Z,-21.97917,152.47917,30.024
2022-05-16T00:00:00Z,-21.97917,152.52084,30.534
2022-05-16T00:00:00Z,-21.97917,152.56252,31.184
2022-05-16T00:00:00Z,-21.97917,152.60417,30.914
2022-05-16T00:00:00Z,-21.97917,152.64584,31.112
2022-05-16T00:00:00Z,-21.97917,152.68752,30.824
2022-05-16T00:00:00Z,-21.97917,152.72917,30.746
2022-05-16T00:00:00Z,-21.97917,152.77084,30.694
2022-05-16T00:00:00Z,-21.97917,152.81252,30.156
2022-05-16T00:00:00Z,-21.97917,152.85417,29.388
2022-05-16T00:00:00Z,-21.97917,152.89584,29.118
2022-05-16T00:00:00Z,-21.97917,152.93752,29.68
2022-05-16T00:00:00Z,-21.97917,152.97917,29.842
2022-05-16T00:00:00Z,-21.97917,153.02084,30.24
2022-05-16T00:00:00Z,-21.97917,153.06252,29.51
2022-05-16T00:00:00Z,-21.97917,153.10417,29.47
2022-05-16T00:00:00Z,-21.97917,153.14584,30.908
2022-05-16T00:00:00Z,-21.97917,153.18752,31.626
2022-05-16T00:00:00Z,-21.97917,153.22917,31.974
2022-05-16T00:00:00Z,-21.97917,153.27084,31.624
2022-05-16T00:00:00Z,-21.97917,153.31252,31.276
2022-05-16T00:00:00Z,-21.97917,153.35417,31.286
2022-05-16T00:00:00Z,-21.97917,153.39584,31.552
2022-05-16T00:00:00Z,-21.97917,153.43752,31.7
2022-05-16T00:00:00Z,-21.97917,153.47917,31.182
2022-05-16T00:00:00Z,-21.97917,153.52084,30.376
2022-05-16T00:00:00Z,-21.97917,153.56252,31.164
2022-05-16T00:00:00Z,-21.97917,153.60417,31.524
2022-05-16T00:00:00Z,-21.97917,153.64584,29.84
2022-05-16T00:00:00Z,-21.97917,153.68752,30.856
2022-05-16T00:00:00Z,-21.97917,153.72917,30.492
2022-05-16T00:00:00Z,-21.97917,153.77084,31.098
